tables,selectivities,error
badges;users,1.0;1.0,0.0
badges;comments,0.9972699152170919;0.7738561716531367,0.13534088590924995
postHistory;comments,0.14156609617166963;0.7738561716531367,2.959948922819029
postHistory;comments,0.13888173474822163;1.0,3.0337374953323
votes;comments,1.0;0.7738561716531367,-0.18672968688238928
posts;badges,0.2139771067733727;0.9968315988528634,1.200920873728897
posts;postLinks;comments,0.9868730204805497;1.0;1.0,2.183711733677689
posts;postLinks;comments,0.9736727481120226;0.8591470370502948;0.7738561716531367,2.141250680895139
posts;postHistory;comments,0.9996955727581108;1.0;1.0,-0.19497015800617648
posts;users;comments,0.004221161422677288;1.0;0.9877090085941765,1.4038620836629687
posts;users;comments,0.09084635281213069;0.9472400505031882;0.7738561716531367,3.1177548527742993
postHistory;users;comments,1.0;0.9301797695705543;1.0,5.4462684061622495
users;votes;comments,0.9892126472411655;1.0;0.992031209661226,3.195551879302792
users;votes;comments,0.7801854212268653;0.01002074512610853;0.9698707050845549,4.954523391296088
users;badges;comments,1.0;0.9969840766161004;0.7720803048182137,0.1084616511463583
users;badges;comments,0.9456882134611833;0.9980213146986262;0.7738561716531367,3.7953956155114326
posts;tags;votes,0.9977602852918153;1.0;1.0,-1.8286423473705293
posts;postHistory;postLinks,0.9988583978429155;0.9986345060968973;1.0,-0.5706369281207934
posts;postLinks;users,0.9984887361920501;1.0;0.9979913205207688,-9.17894351004414e-05
posts;postHistory;users,0.9690825558098894;0.9689993304462262;0.9988096714197148,0.10366551486533422
posts;votes;users,0.9521900644500387;0.9994635193133047;0.976280443037026,0.20095859829524074
posts;votes;users,0.9927807254066278;1.0;0.9867015416049619,-2.586101283771666
badges;votes;users,1.0;1.0;0.9814755114693119,-0.7157096763121722
badges;votes;users,1.0;8.354949265744649e-05;0.9814755114693119,-2.861546359252344
posts;postLinks;votes;comments,0.9992171870922849;1.0;0.7985496117474826;0.9945268351452913,-1.0916103936514254
posts;postLinks;users;comments,1.0;1.0;0.981401115933044;0.9767624624753862,-0.23835878607221891
posts;users;votes;comments,0.9924980429677307;0.9591798208065359;0.007895787899337571;0.7736697056354698,5.035869146705597
posts;badges;votes;users,0.9919000608854484;1.0;1.0;1.0,-0.3919267562314812
posts;badges;votes;users,0.009537542756696542;0.9839380491693073;0.9994635193133047;0.9567152195294817,0.140042116143096
posts;badges;votes;users,0.4052160648550295;1.0;1.0;1.0,-7.300866630530468
posts;badges;votes;users,0.4647666046338018;0.9377340188086637;0.9935378462738977;0.9666212027278364,-3.7162119050419684
postHistory;users;votes;comments,0.8941967702124969;0.9811261736372973;0.9942051732761449;0.9910296657663135,3.804715658746983
postHistory;users;votes;comments,1.0;0.7349355509902821;0.010470375887829134;1.0,6.435831025759552
users;badges;votes;comments,0.9962306261624303;1.0;1.0;0.14325879985248383,-1.8398315215098906
users;badges;votes;comments,0.9328141066953688;1.0;0.010559892799639545;0.7738561716531367,-0.18561331159082287
users;badges;votes;comments,0.9692746435213887;1.0;0.00011044736940519083;0.7738561716531367,3.926989678527381
postHistory;postLinks;votes;comments,0.9090064745857116;1.0;1.0;1.0,0.01098747254417937
postHistory;users;badges;comments,0.1408929237352436;1.0;0.9894177906350577;0.7609836609897455,3.0833486563534116
postHistory;users;badges;comments,0.2170240528942023;0.9426498051957538;1.0;0.773123626583731,7.435907907064122
posts;postLinks;badges;users,0.9549257848953295;0.917492343721852;1.0;0.9688116849163676,-0.4475240830218299
posts;postLinks;badges;users,0.0011917287887035187;0.967303188614664;0.996493469086173;0.9025673432452682,-2.3984778536479383
posts;postHistory;votes;users,0.4601325994004173;1.0;1.0;1.0,-0.6033665750028919
posts;postHistory;badges;users,0.9999130207880317;0.14156609617166963;1.0;0.9931060136391816,0.6241552040493629
posts;postHistory;badges;users,0.013673982283839186;0.971142667611378;1.0;0.9638296405253503,0.26235566089896867
postHistory;badges;votes;users,0.3033639305115325;0.9905388160033226;1.0;0.022553545108981513,3.0912960737913373
posts;postLinks;postHistory;votes;comments,0.017137915907733475;0.8814603979586807;0.9789832677522453;0.9984911480686696;0.9949112188405381,-2.902432909220022
posts;postHistory;votes;comments;users,0.023415712123669066;0.14156609617166963;0.007900026110770389;1.0;1.0,0.42614882176376895
postHistory;badges;votes;comments;users,0.0030758692459180513;1.0;1.0;0.9987263704426149;0.7818722876627402,13.327296833954719
posts;badges;votes;comments;users,0.9869063806427308;0.9781467984120424;0.007900026110770389;0.14344396316801009;0.976580851944723,1.676291088562876
posts;badges;votes;comments;users,0.02671256094452144;1.0;1.0;0.14344396316801009;0.8806204086527283,11.132177049183994
posts;postHistory;badges;comments;users,0.21689784756004207;0.3033639305115325;0.9684537451002492;0.9935707671704291;0.987451952882827,9.212064619356475
posts;postHistory;badges;comments;users,0.012997572989288237;1.0;0.9818108116512401;1.0;0.9376131095302359,5.848593195926008
posts;postLinks;badges;comments;users,0.4666543446116378;1.0;1.0;0.9938900203665988;1.0,-2.9984520720296466
posts;postLinks;badges;comments;users,0.016967269029979935;0.8776588623965113;1.0;1.0;0.950601363918165,-1.230924440936405
posts;postHistory;badges;users;tags,1.0;1.0;0.9749533506155215;0.9814755114693119;1.0,-0.6177317208738605
posts;badges;votes;users;tags,1.0;1.0;1.0;1.0;1.0,-9.655439814802463
posts;badges;votes;users;tags,1.0;0.9985598176603925;0.00011063611134695388;0.9887607639263901;1.0,-6.743470084674281
posts;users;comments,0.21060321958050537;0.9852728355207553;0.9963971199908207,2.740959579918389
posts;users;comments,0.06546177502368783;1.0;0.7738561716531367,1.3835952815457289
postHistory;users;comments,1.0;0.9763350421962903;0.9884877814046059,4.925573784389681
postHistory;users;comments,1.0;0.988567180474447;1.0,4.680115530493292
users;votes;comments,0.9851952882827031;0.9972206869986346;0.9949740704419471,-0.3707832226010903
users;votes;comments,0.9017963811545144;0.9984911480686696;1.0,-0.4264904344574865
posts;users;votes;comments,1.0;0.9871791692498451;1.0;0.7738561716531367,1.5797898824737013
users;badges;comments,0.9919404835709857;1.0;0.9899150152739637,2.9549904049795694
users;badges;comments,1.0;0.9969840766161004;0.7720803048182137,0.1084616511463583
